default_team_1,default_player_1_1,default_player_1_2,default_player_1_3,default_player_1_4,default_player_1_5
Other_Room,Cheer,Yawn,Empty,Left,Gone
0,Cheer,Yawn,Empty,Left,Gone
default_player_1_1,1,1,10,8,9
default_player_1_2,7,8,9,10,4
default_player_1_3,5,6,3,3,2
default_player_1_4,1,2,3,4,5
default_player_1_5,6,7,8,9,10
1,Cheer,Yawn,Empty,Left,Gone
default_player_1_1,0,0,0,0,0
default_player_1_2,0,0,0,0,0
default_player_1_3,0,0,0,0,0
default_player_1_4,0,0,0,0,0
default_player_1_5,0,0,0,0,0
2,Cheer,Yawn,Empty,Left,Gone
default_player_1_1,0,0,0,0,0
default_player_1_2,0,0,0,0,0
default_player_1_3,0,0,0,0,0
default_player_1_4,0,0,0,0,0
default_player_1_5,0,0,0,0,0
3,Cheer,Yawn,Empty,Left,Gone
default_player_1_1,0,0,0,0,0
default_player_1_2,0,0,0,0,0
default_player_1_3,0,0,0,0,0
default_player_1_4,0,0,0,0,0
default_player_1_5,0,0,0,0,0
4,Cheer,Yawn,Empty,Left,Gone
default_player_1_1,0,0,0,0,0
default_player_1_2,0,0,0,0,0
default_player_1_3,0,0,0,0,0
default_player_1_4,0,0,0,0,0
default_player_1_5,0,0,0,0,0
5,Cheer,Yawn,Empty,Left,Gone
default_player_1_1,0,0,0,0,0
default_player_1_2,0,0,0,0,0
default_player_1_3,0,0,0,0,0
default_player_1_4,0,0,0,0,0
default_player_1_5,0,0,0,0,0
6,Cheer,Yawn,Empty,Left,Gone
default_player_1_1,0,0,0,0,0
default_player_1_2,0,0,0,0,0
default_player_1_3,0,0,0,0,0
default_player_1_4,0,0,0,0,0
default_player_1_5,0,0,0,0,0
